file,title,systems,categories,tags,date
content\en\blog\2025-11-10-choking-vs-food-stuck-vs-painful-swallowing-parent-guide.md,Choking vs Food Stuck vs Painful Swallowing: A Parent Guide,Allergy/EGID,Education,Choking; Dysphagia; Odynophagia; Emergency; EoE,2025-11-10
content\en\blog\2025-11-10-functional-abdominal-pain-in-kids-parent-guide.md,functional abdominal pain in kids parent guide,Upper GI; Brain-Gut Axis Disorders,Education,Pediatrics,2025-12-25
content\en\blog\2025-11-15-abdominal-pain-in-children-detailed-triage-algorithm.md,"Abdominal Pain in Children: A Detailed Guide (Triage, Constipation Plan, When to Test for Celiac/IBD)",Upper GI; Brain-Gut Axis Disorders,Education,Abdominal Pain; Constipation; Celiac; IBD; Appendicitis,2025-11-15
content\en\blog\2025-11-20-sudden-food-refusal-after-choking.md,Sudden Refusal to Eat After a Choking Episode: What to Do (Fear-Based Food Avoidance),Upper GI; Brain-Gut Axis Disorders,Education,Feeding; Choking; Food Refusal; Anxiety; Dysphagia,2025-11-20
content\en\blog\2025-11-25-choking-vs-dysphagia-vs-globus-in-children.md,Choking vs Dysphagia vs Globus in Children: How Parents Can Tell the Difference,Allergy/EGID; Brain-Gut Axis Disorders,Education,Choking; Dysphagia; Food Stuck; Globus; EoE,2025-11-25
content\en\blog\2025-11-30-recurrent-abdominal-pain-functional-vs-organic.md,Recurrent Abdominal Pain in Children: Functional Pain vs Organic Disease,Upper GI; Lower GI; Brain-Gut Axis Disorders,Education,Abdominal Pain; Functional Abdominal Pain; IBS; Celiac; IBD,2025-11-30
content\en\blog\2025-11-30-Wilsons_Disease.md,Wilsons Disease,Liver & Biliary,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-11-celiac-disease-in-children-parent-guide.md,"Celiac Disease in Children: Symptoms, Testing, and What Parents Need to Know",Upper GI; Nutrition & Growth,Education,Celiac Disease; Gluten; Growth; Diarrhea; Abdominal Pain; Iron Deficiency,2025-12-11
content\en\blog\2025-12-24-constipation-in-children-practical-plan.md,Constipation in Kids: Myths vs Evidence (and What Actually Works),Lower GI; Upper GI,Education,Constipation; Encopresis; Abdominal Pain; Toilet Training,2025-12-15
content\en\blog\2025-12-24-eosinophilic-esophagitis-in-children.md,"Eosinophilic Esophagitis (EoE) in Children: Symptoms, Food Stuck Emergencies, Diagnosis, and Treatment",Allergy/EGID,Education,Eosinophilic Esophagitis; EoE; Dysphagia; Food Bolus; Food Stuck; Allergy; Emergency; Pediatric Gastroenterology,2025-12-24
content\en\blog\2025-12-25-Abdominal_Diaphragmatic_Breathing.md,Abdominal Diaphragmatic Breathing,Brain-Gut Axis Disorders,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Abdominal_Ultrasound.md,Abdominal Ultrasound,Liver & Biliary; Pancreas; Lower GI,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Acupuncture_and_Acupressure.md,Acupuncture and Acupressure,Brain-Gut Axis Disorders,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Allergens_Introducing.md,Allergens Introducing,Nutrition & Growth; Allergy/EGID,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Allergies.md,Allergies,Nutrition & Growth; Allergy/EGID,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Alpha-1_Antitrypsin_Deficiency.md,Alpha1 Antitrypsin Deficiency,Liver & Biliary,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Anorectal_Manometry.md,Anorectal Manometry,Lower GI,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Autism.md,Autism,Lower GI; Upper GI; Nutrition & Growth;Brain-Gut Axis Disorders,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Autoimmune_Hepatitis.md,Autoimmune Hepatitis,Liver & Biliary,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Avoidant_Restrictive_Food_Intake_Disorder_ARFID.md,Avoidant Restrictive Food Intake Disorder ARFID,Nutrition & Growth; Brain-Gut Axis Disorders,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Biliary_Atresia.md,Biliary Atresia,Liver & Biliary,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Biofeedback_Training.md,Biofeedback Training,Brain-Gut Axis Disorders,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Bleeding_Lower_GI.md,Bleeding Lower GI,Liver & Biliary; Lower GI,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Bleeding_Upper_GI.md,Bleeding Upper GI,Liver & Biliary; Upper GI,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-blood-in-stool-newborn-to-teen-what-it-means.md,"Blood in Stool in Children (Newborn to Teens): Causes, Red Flags, What to Do",Liver & Biliary; Lower GI; Upper GI,Education,Blood in Stool; Rectal Bleeding; Constipation; Anal Fissure; Allergy; Polyps; IBD; Pediatric Gastroenterology,2025-12-25
content\en\blog\2025-12-25-Bravo_Capsule_Test.md,Bravo Capsule Test,Lower GI; Upper GI,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Breastfeeding.md,Breastfeeding,Nutrition & Growth,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Cholestasis_Neonatal.md,Cholestasis Neonatal,Liver & Biliary; Nutrition & Growth,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Clinical_Hypnosis.md,Clinical Hypnosis,Brain-Gut Axis Disorders,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Clostridioides_Difficile_Infection.md,Clostridioides Difficile Infection,Lower GI; Upper GI,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Cognitive-Behavioral_Therapy.md,Cognitive Behavioral Therapy,Brain-Gut Axis Disorders,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Colic.md,Colic,Lower GI; Upper GI; Nutrition & Growth,Education,Pediatrics,2025-12-25
